Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
1,,,,,,,-119.84562230,34.41622191,-20.267,Global,6.1,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 17:44:46.0 UTC-08:00,2026-02-06 17:44:46.0 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11305.840,P519_RTCM3,Global CS,8,7,4,5,0,Reach RX2,8243B70F5B178099
2,,,,,,,-119.84560105,34.41620833,-20.231,Global,9.1,0.013,0.013,0.013,0.018,1.945,m,FIX,RTK,2026-02-06 17:44:55.4 UTC-08:00,2026-02-06 17:44:55.4 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11306.390,P519_RTCM3,Global CS,9,7,4,5,0,Reach RX2,8243B70F5B178099
3,,,,,,,-119.84558469,34.41618190,-20.230,Global,11.5,0.013,0.013,0.016,0.018,1.945,m,FIX,RTK,2026-02-06 17:45:04.0 UTC-08:00,2026-02-06 17:45:04.0 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11308.450,P519_RTCM3,Global CS,9,7,3,5,0,Reach RX2,8243B70F5B178099
4,,,,,,,-119.84557656,34.41616272,-20.240,Global,8.2,0.012,0.012,0.012,0.018,1.945,m,FIX,RTK,2026-02-06 17:45:10.6 UTC-08:00,2026-02-06 17:45:10.6 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11310.050,P519_RTCM3,Global CS,9,7,4,5,0,Reach RX2,8243B70F5B178099
5,,,,,,,-119.84556881,34.41614721,-20.285,Global,9.0,0.012,0.012,0.018,0.018,1.945,m,FIX,RTK,2026-02-06 17:45:16.8 UTC-08:00,2026-02-06 17:45:16.8 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11311.340,P519_RTCM3,Global CS,9,7,3,5,0,Reach RX2,8243B70F5B178099
6,,,,,,,-119.84556076,34.41613037,-20.306,Global,8.4,0.012,0.012,0.013,0.017,1.945,m,FIX,RTK,2026-02-06 17:45:22.4 UTC-08:00,2026-02-06 17:45:22.4 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11312.690,P519_RTCM3,Global CS,9,7,4,3,0,Reach RX2,8243B70F5B178099
7,,,,,,,-119.84554961,34.41611298,-20.300,Global,7.9,0.013,0.013,0.016,0.018,1.945,m,FIX,RTK,2026-02-06 17:45:33.4 UTC-08:00,2026-02-06 17:45:33.4 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11314.010,P519_RTCM3,Global CS,7,7,4,5,0,Reach RX2,8243B70F5B178099
8,,,,,,,-119.84553269,34.41609299,-20.363,Global,9.2,0.012,0.012,0.013,0.017,1.945,m,FIX,RTK,2026-02-06 17:45:40.0 UTC-08:00,2026-02-06 17:45:40.0 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11315.340,P519_RTCM3,Global CS,9,7,4,5,0,Reach RX2,8243B70F5B178099
9,,,,,,,-119.84551741,34.41607178,-20.394,Global,7.5,0.012,0.012,0.013,0.017,1.945,m,FIX,RTK,2026-02-06 17:45:46.6 UTC-08:00,2026-02-06 17:45:46.6 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11316.840,P519_RTCM3,Global CS,7,7,4,5,0,Reach RX2,8243B70F5B178099
10,,,,,,,-119.84549697,34.41605393,-20.378,Global,8.5,0.012,0.012,0.013,0.018,1.945,m,FIX,RTK,2026-02-06 17:45:53.6 UTC-08:00,2026-02-06 17:45:53.6 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11317.850,P519_RTCM3,Global CS,8,7,5,5,0,Reach RX2,8243B70F5B178099
