Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
1,,,,,,,-119.84080139,34.41415414,-20.924,Global,7.2,0.013,0.013,0.017,0.018,1.945,m,FIX,RTK,2026-01-19 14:10:23.4 UTC-08:00,2026-01-19 14:10:23.4 UTC-08:00,1,1.5,1.7,,,,-119.79242800,34.50781198,811.544,11331.290,P519_RTCM3,Global CS,5,4,5,3,0,Reach RX2,8243B70F5B178099
2,,,,,,,-119.84077928,34.41413609,-20.926,Global,8.2,0.013,0.013,0.013,0.018,1.945,m,FIX,RTK,2026-01-19 14:10:32.6 UTC-08:00,2026-01-19 14:10:32.6 UTC-08:00,1,1.5,1.7,,,,-119.79242800,34.50781198,811.544,11332.320,P519_RTCM3,Global CS,5,4,5,3,0,Reach RX2,8243B70F5B178099
3,,,,,,,-119.84074089,34.41410589,-20.892,Global,12.7,0.013,0.013,0.014,0.019,1.945,m,FIX,RTK,2026-01-19 14:10:47.0 UTC-08:00,2026-01-19 14:10:47.0 UTC-08:00,1,1.5,1.7,,,,-119.79242800,34.50781198,811.544,11333.820,P519_RTCM3,Global CS,5,4,5,3,0,Reach RX2,8243B70F5B178099
4,,,,,,,-119.84073242,34.41406546,-21.183,Global,15.0,0.013,0.013,0.014,0.019,1.945,m,FIX,RTK,2026-01-19 14:11:06.0 UTC-08:00,2026-01-19 14:11:06.0 UTC-08:00,1,1.5,1.7,,,,-119.79242800,34.50781198,811.544,11337.580,P519_RTCM3,Global CS,5,4,5,3,0,Reach RX2,8243B70F5B178099
5,,,,,,,-119.84073282,34.41403283,-21.198,Global,17.5,0.014,0.014,0.016,0.020,1.945,m,FIX,RTK,2026-01-19 14:11:13.6 UTC-08:00,2026-01-19 14:11:13.6 UTC-08:00,1,1.5,1.7,,,,-119.79242800,34.50781198,811.544,11340.860,P519_RTCM3,Global CS,5,4,4,3,0,Reach RX2,8243B70F5B178099
6,,,,,,,-119.84072592,34.41400155,-21.322,Global,16.2,0.013,0.013,0.015,0.019,1.945,m,FIX,RTK,2026-01-19 14:11:21.6 UTC-08:00,2026-01-19 14:11:21.6 UTC-08:00,1,1.5,1.7,,,,-119.79242800,34.50781198,811.544,11343.830,P519_RTCM3,Global CS,5,4,4,3,0,Reach RX2,8243B70F5B178099
7,,,,,,,-119.84072495,34.41398383,-21.266,Global,18.2,0.013,0.013,0.015,0.019,1.945,m,FIX,RTK,2026-01-19 14:11:34.8 UTC-08:00,2026-01-19 14:11:34.8 UTC-08:00,1,1.3,1.5,,,,-119.79242800,34.50781198,811.544,11345.540,P519_RTCM3,Global CS,7,4,4,3,0,Reach RX2,8243B70F5B178099
8,,,,,,,-119.84074194,34.41394653,-21.088,Global,17.2,0.014,0.014,0.018,0.019,1.945,m,FIX,RTK,2026-01-19 14:11:56.4 UTC-08:00,2026-01-19 14:11:56.4 UTC-08:00,1,1.3,1.5,,,,-119.79242800,34.50781198,811.544,11350.150,P519_RTCM3,Global CS,7,4,5,3,0,Reach RX2,8243B70F5B178099
9,,,,,,,-119.84074217,34.41391058,-21.032,Global,19.0,0.014,0.014,0.019,0.020,1.945,m,FIX,RTK,2026-01-19 14:12:06.6 UTC-08:00,2026-01-19 14:12:06.6 UTC-08:00,1,1.3,1.5,,,,-119.79242800,34.50781198,811.544,11353.770,P519_RTCM3,Global CS,7,4,4,3,0,Reach RX2,8243B70F5B178099
10,,,,,,,-119.84071032,34.41386944,-20.883,Global,18.6,0.014,0.014,0.017,0.020,1.945,m,FIX,RTK,2026-01-19 14:12:20.8 UTC-08:00,2026-01-19 14:12:20.8 UTC-08:00,1,1.2,1.4,,,,-119.79242800,34.50781198,811.544,11356.810,P519_RTCM3,Global CS,7,5,3,3,0,Reach RX2,8243B70F5B178099
